DW 75 ,Estimate,Std..Error,t.value,Pr...t..,
DW 75 ,(Intercept),-2450.198043,NA,NA,NA,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
DW 75 ,,,,,,1
