HK 79 ,Estimate,Std..Error,t.value,Pr...t..,
HK 79 ,(Intercept),56.67348575,30.19751576,1.87675987,0.064660395,1
HK 79 ,credit,-0.708826517,0.213742081,-3.316270315,0.001439984,1
HK 79 ,dowjones,-0.352387852,0.154661791,-2.278441552,0.025711285,1
HK 79 ,headlines,0.130266037,0.0579817,2.246675009,0.027771747,1
HK 79 ,war,-0.267387016,0.103252678,-2.589637581,0.01164909,1
HK 79 ,nyse,-0.31773114,0.147390412,-2.155711046,0.034496683,1
HK 79 ,culture,0.468719497,0.208446108,2.248636354,0.027640439,1
HK 79 ,energy,0.43767623,0.166823067,2.623595402,0.01064307,1
HK 79 ,shortselling,-0.237415451,0.105436924,-2.251729678,0.027434458,1
HK 79 ,transaction,-0.300176578,0.123237267,-2.435761395,0.017372659,1
