CK 74 ,Estimate,Std..Error,t.value,Pr...t..,
CK 74 ,(Intercept),23.37320908,15.23691305,1.533985854,0.129477417,1
CK 74 ,credit,0.375466526,0.107848921,3.481411973,0.000857389,1
CK 74 ,revenue,-0.109101154,0.042841787,-2.546606079,0.013047381,1
CK 74 ,inflation,0.112100305,0.05251419,2.134666912,0.03624132,1
CK 74 ,unemployment,-0.123162508,0.040819567,-3.017241907,0.003539509,1
CK 74 ,hedge,-0.095100243,0.047241723,-2.013056176,0.047901405,1
CK 74 ,stockmarket,0.203292241,0.095111626,2.137406847,0.036009904,1
CK 74 ,finance,-0.238967737,0.09805696,-2.437029836,0.017316643,1
CK 74 ,rich,0.15021116,0.043579458,3.446834073,0.000956895,1
CK 74 ,success,-0.255974489,0.06822954,-3.751666654,0.000355658,1
CK 74 ,gain,0.130524965,0.05890076,2.216014948,0.02989694,1
