CL 85 ,Estimate,Std..Error,t.value,Pr...t..,
CL 85 ,(Intercept),52.93878861,17.4371323,3.035980212,0.003350739,1
CL 85 ,money,0.232451857,0.109856436,2.115960298,0.037856146,1
CL 85 ,society,-0.276492072,0.126184578,-2.191171672,0.031722342,1
CL 85 ,happy,0.174385251,0.067887964,2.568721166,0.012310863,1
CL 85 ,water,-0.261119793,0.126332309,-2.066928054,0.042388513,1
CL 85 ,gain,0.15403822,0.067406065,2.285227907,0.025289022,1
CL 85 ,food,0.210624026,0.081613527,2.580748977,0.011926276,1
CL 85 ,culture,0.395257114,0.120364284,3.283840525,0.001591487,1
CL 85 ,conflict,0.102993351,0.050868565,2.024695416,0.046660804,1
CL 85 ,trader,-0.140721888,0.065818222,-2.138038439,0.035956743,1
CL 85 ,fun,-0.286533643,0.081144787,-3.531140473,0.000731319,1
CL 85 ,environment,-0.306058758,0.114130664,-2.681652308,0.009104271,1
