MI 89 ,Estimate,Std..Error,t.value,Pr...t..,
MI 89 ,(Intercept),182.3593739,64.57818992,2.823853907,0.006153712,1
MI 89 ,economics,-1.068379622,0.416575499,-2.564672249,0.012442829,1
MI 89 ,revenue,-0.518842237,0.181575167,-2.857451518,0.00559927,1
MI 89 ,dowjones,-1.176108886,0.330748351,-3.555902497,0.000675304,1
MI 89 ,cancer,-0.88341619,0.248137162,-3.560193018,0.000666023,1
MI 89 ,stockmarket,1.275590745,0.403108992,3.164381767,0.00228869,1
MI 89 ,invest,1.171819599,0.327688762,3.576013991,0.000632832,1
MI 89 ,car,0.995641878,0.48471887,2.054060486,0.043652928,1
MI 89 ,house,0.926166064,0.433340604,2.13727044,0.036021395,1
MI 89 ,risk,1.068947466,0.346654755,3.083608262,0.002912247,1
MI 89 ,leverage,-0.188114663,0.091632782,-2.052918822,0.043766667,1
MI 89 ,success,-0.793446888,0.289175384,-2.743825834,0.007683551,1
MI 89 ,war,-0.50272957,0.220808596,-2.276766299,0.025816477,1
MI 89 ,arts,-1.160317335,0.53033621,-2.187890085,0.031970617,1
MI 89 ,culture,1.039968314,0.445767542,2.332983487,0.022487042,1
MI 89 ,lifestyle,0.275091776,0.134534157,2.04477274,0.04458567,1
MI 89 ,kitchen,-1.010883289,0.446637703,-2.263318303,0.026674759,1
