NP 92 ,Estimate,Std..Error,t.value,Pr...t..,
NP 92 ,(Intercept),32.0298765,10.15228412,3.154942881,0.002354513,1
NP 92 ,cancer,-0.147338375,0.039009439,-3.776992914,0.000326881,1
NP 92 ,headlines,0.049924167,0.019493216,2.561104692,0.012560165,1
NP 92 ,invest,0.163068783,0.051515681,3.16542032,0.002281554,1
NP 92 ,sell,0.281374692,0.083530978,3.368507078,0.001224158,1
NP 92 ,leverage,-0.031785533,0.014405514,-2.206483763,0.030586064,1
NP 92 ,gain,0.149971746,0.039245302,3.821393616,0.00028172,1
NP 92 ,gains,-0.063796876,0.02883473,-2.212501218,0.030149387,1
NP 92 ,food,0.200623936,0.0475172,4.222132909,7.06E-05,1
NP 92 ,culture,0.159363475,0.070078749,2.274062795,0.025987036,1
NP 92 ,financialmarkets,0.069649894,0.029603184,2.352783894,0.021408518,1
NP 92 ,lifestyle,0.05117954,0.021150004,2.419835941,0.018089881,1
NP 92 ,fond,-0.075756521,0.037655254,-2.011844661,0.048032149,1
