OP 95 ,Estimate,Std..Error,t.value,Pr...t..,
OP 95 ,(Intercept),63.6884147,35.59932612,1.789034278,0.077874522,1
OP 95 ,dowjones,-0.441594327,0.182328096,-2.421976303,0.017991971,1
OP 95 ,money,0.531839124,0.224280864,2.371308527,0.020441389,1
OP 95 ,invest,0.528013489,0.180641469,2.922991553,0.004647918,1
OP 95 ,holiday,0.334891477,0.166598343,2.010172916,0.048213064,1
OP 95 ,derivatives,0.25121257,0.112055123,2.241865995,0.028096028,1
OP 95 ,nyse,-0.501658411,0.173755994,-2.88714306,0.005147987,1
OP 95 ,culture,0.720835526,0.245733492,2.93340367,0.004511324,1
OP 95 ,tourism,-0.434600256,0.216307179,-2.009180916,0.048320694,1
OP 95 ,present,-0.496472556,0.209265054,-2.372458019,0.020382679,1
OP 95 ,energy,0.503930651,0.196664812,2.56238341,0.012517994,1
OP 95 ,lifestyle,0.228232211,0.074163202,3.077432016,0.002965926,1
OP 95 ,world,0.169538782,0.074127244,2.287131865,0.025171659,1
OP 95 ,forex,-0.281547854,0.107003066,-2.631212955,0.010428518,1
