D 237 ,Estimate,Std..Error,t.value,Pr...t..,
D 237 ,(Intercept),-16.68937859,47.70756659,-0.349826658,0.727504372,1
D 237 ,restaurant,-0.790901475,0.322433797,-2.452911209,0.01662887,1
D 237 ,economics,-0.61403733,0.307747916,-1.995260727,0.049852868,1
D 237 ,credit,0.927860361,0.337680577,2.747745723,0.007601166,1
D 237 ,inflation,0.388501236,0.164424659,2.362791796,0.020881089,1
D 237 ,unemployment,-0.315781942,0.127808186,-2.470748957,0.015885662,1
D 237 ,house,0.993036268,0.320133249,3.101946681,0.00275815,1
D 237 ,chance,0.202297228,0.098945648,2.04452882,0.044610396,1
D 237 ,success,-0.619564957,0.213630235,-2.900174492,0.004960724,1
D 237 ,default,-0.652007154,0.188733593,-3.454642833,0.000933512,1
D 237 ,gains,0.327043687,0.135500031,2.413605987,0.018377584,1
D 237 ,home,0.945445239,0.349531998,2.704888949,0.008547393,1
D 237 ,garden,-0.53410781,0.26435849,-2.02039212,0.047116228,1
D 237 ,labor,0.473160887,0.100024053,4.730471048,1.11E-05,1
