F 114 ,Estimate,Std..Error,t.value,Pr...t..,
F 114 ,(Intercept),18.67671395,18.48415645,1.010417435,0.315726458,1
F 114 ,portfolio,-0.207736657,0.09996075,-2.078182253,0.041308693,1
F 114 ,revenue,0.125754265,0.051972095,2.419649736,0.018098421,1
F 114 ,religion,-0.219474046,0.093361802,-2.350790582,0.021514972,1
F 114 ,bonds,-0.12839519,0.04969671,-2.583575263,0.011837499,1
F 114 ,car,-0.330332444,0.13874064,-2.380934979,0.019954341,1
F 114 ,risk,-0.242879861,0.099222675,-2.447826183,0.016846373,1
F 114 ,arts,0.306848607,0.15179765,2.021431867,0.047005842,1
F 114 ,energy,0.291442981,0.102113819,2.854099317,0.005652448,1
F 114 ,greed,-0.092881929,0.044666351,-2.079460848,0.041187532,1
F 114 ,fond,-0.161142882,0.068558523,-2.350442744,0.021533596,1
F 114 ,consumption,0.249553203,0.058020724,4.301104605,5.33E-05,1
