R 124 ,Estimate,Std..Error,t.value,Pr...t..,
R 124 ,(Intercept),24.24737681,36.7289372,0.660170935,0.511280233,1
R 124 ,credit,0.541924729,0.259972361,2.084547477,0.040708558,1
R 124 ,money,0.474338762,0.231397576,2.04988648,0.044070009,1
R 124 ,banking,-0.235656689,0.117665813,-2.002762599,0.049022057,1
R 124 ,crisis,-0.278927448,0.127038278,-2.19561735,0.031388689,1
R 124 ,travel,-0.882922736,0.313165326,-2.819350237,0.006231756,1
R 124 ,tourism,0.519283111,0.223170876,2.326840851,0.022831295,1
R 124 ,present,0.543603183,0.215905296,2.517785317,0.014066881,1
R 124 ,lifestyle,-0.199723235,0.076516493,-2.610198507,0.011030143,1
R 124 ,fond,0.417076777,0.136229191,3.061581542,0.003107935,1
