DP 10 ,Estimate,Std..Error,t.value,Pr...t..,
DP 10 ,(Intercept),22.86534021,24.08629402,0.949309187,0.345683584,1
DP 10 ,economics,-0.367610708,0.155373818,-2.365975886,0.020715726,1
DP 10 ,housing,-0.306064745,0.128853757,-2.375287712,0.020238794,1
DP 10 ,cancer,-0.24703577,0.092549894,-2.669217212,0.009415688,1
DP 10 ,office,0.36807632,0.144033965,2.555482798,0.012747098,1
DP 10 ,invest,0.323576569,0.122220952,2.647472157,0.009983661,1
DP 10 ,house,0.342417166,0.161626847,2.118566146,0.037627517,1
DP 10 ,risk,0.314066762,0.129294865,2.429073749,0.017670685,1
DP 10 ,success,-0.354494291,0.10785628,-3.286728342,0.001577411,1
DP 10 ,oil,0.12322453,0.057085713,2.158587893,0.034263967,1
DP 10 ,default,-0.261196198,0.095286621,-2.741163402,0.007739973,1
DP 10 ,kitchen,-0.347721539,0.166586382,-2.087334714,0.040448152,1
DP 10 ,consume,0.238216313,0.093231913,2.555094131,0.012760114,1
