A 131 ,Estimate,Std..Error,t.value,Pr...t..,
A 131 ,(Intercept),2.726500388,24.12444813,0.113018145,0.91033512,1
A 131 ,portfolio,-0.302792315,0.130462969,-2.320906207,0.023168325,1
A 131 ,return,-0.210829515,0.104835345,-2.011053771,0.048117666,1
A 131 ,unemployment,-0.163382595,0.064629202,-2.527999579,0.013697625,1
A 131 ,headlines,-0.121743981,0.046320914,-2.628272446,0.010510869,1
A 131 ,happy,0.225319582,0.093923682,2.398964521,0.019069896,1
A 131 ,ore,0.19338233,0.070968099,2.724919125,0.008092509,1
A 131 ,gains,0.221656008,0.068518764,3.234968007,0.001848359,1
A 131 ,tourism,-0.303856769,0.146583992,-2.072919191,0.041810677,1
A 131 ,opportunity,0.216793952,0.106827539,2.029382634,0.046169059,1
A 131 ,lifestyle,0.171936453,0.05025787,3.421085149,0.001037987,1
