DX 55 ,Estimate,Std..Error,t.value,Pr...t..,
DX 55 ,(Intercept),8.940335959,46.01750136,0.194281212,0.84651051,1
DX 55 ,economics,-0.75618675,0.296845787,-2.54740604,0.01302006,1
DX 55 ,credit,0.871927585,0.325718068,2.67693957,0.009221172,1
DX 55 ,revenue,-0.324207763,0.129387886,-2.505704141,0.014515191,1
DX 55 ,unemployment,-0.252747085,0.123280515,-2.050178694,0.044040698,1
DX 55 ,office,0.577313294,0.275180697,2.097942551,0.039470233,1
DX 55 ,invest,0.723957612,0.23350636,3.100376419,0.002771041,1
DX 55 ,finance,-0.770173857,0.296145045,-2.600664339,0.011313344,1
DX 55 ,risk,0.504356312,0.247021257,2.041752675,0.044892643,1
DX 55 ,success,-0.874509296,0.206062273,-4.243907838,6.53E-05,1
DX 55 ,food,0.578279622,0.215382353,2.684897881,0.009024551,1
DX 55 ,fond,0.341228928,0.170680871,1.999221862,0.049412694,1
