E 298 ,Estimate,Std..Error,t.value,Pr...t..,
E 298 ,(Intercept),44.81910593,35.25030952,1.271452834,0.207717008,1
E 298 ,economics,-0.567710606,0.227389701,-2.496641689,0.014859884,1
E 298 ,dowjones,-0.377313633,0.180540547,-2.089910766,0.040208761,1
E 298 ,investment,0.781859664,0.384401888,2.033964162,0.045692716,1
E 298 ,cash,0.194441155,0.081597966,2.38291668,0.01985537,1
E 298 ,oil,0.17851234,0.083544985,2.136721204,0.036067693,1
E 298 ,culture,0.635510298,0.243324315,2.611782953,0.010983707,1
E 298 ,energy,0.476592447,0.194736705,2.447368338,0.016866081,1
E 298 ,lifestyle,0.227920339,0.073436104,3.103655109,0.002744189,1
E 298 ,shortselling,-0.358616582,0.123079138,-2.913707301,0.004772931,1
