EP 13 ,Estimate,Std..Error,t.value,Pr...t..,
EP 13 ,(Intercept),35.12519483,20.61804576,1.703614166,0.092826765,1
EP 13 ,unemployment,-0.170233234,0.055235578,-3.081948984,0.002926578,1
EP 13 ,investment,0.495682447,0.224838188,2.204618583,0.030722539,1
EP 13 ,marriage,-0.107425883,0.047239989,-2.274045492,0.025988131,1
EP 13 ,office,0.298196878,0.123294139,2.418581128,0.018147503,1
EP 13 ,happy,0.2315147,0.080272211,2.884120145,0.005192348,1
EP 13 ,gain,0.232370547,0.079702402,2.915477348,0.00474886,1
EP 13 ,food,0.394072755,0.096501615,4.083587148,0.000114861,1
EP 13 ,culture,0.327526596,0.142321356,2.301317276,0.024312306,1
EP 13 ,labor,-0.126485421,0.043227954,-2.926009881,0.004607933,1
