E 143 ,Estimate,Std..Error,t.value,Pr...t..,
E 143 ,(Intercept),48.64650996,28.37788764,1.714239995,0.090847261,1
E 143 ,credit,0.699824296,0.200862508,3.484096179,0.000850088,1
E 143 ,revenue,-0.177085896,0.079790401,-2.219388457,0.029656314,1
E 143 ,return,0.29629994,0.123319116,2.402708909,0.018890664,1
E 143 ,cancer,-0.247755503,0.109040041,-2.27215159,0.02610821,1
E 143 ,headlines,0.134658514,0.054487865,2.471348671,0.015861202,1
E 143 ,office,0.376509791,0.169697325,2.21871376,0.029704303,1
E 143 ,ore,-0.191816339,0.083480655,-2.29773398,0.024526895,1
E 143 ,finance,-0.609980905,0.182625535,-3.340063621,0.001337576,1
E 143 ,leverage,-0.08439017,0.04026661,-2.09578531,0.039667429,1
E 143 ,success,-0.388394545,0.127073654,-3.056452178,0.003155229,1
E 143 ,war,0.202744429,0.097030925,2.089482586,0.040248467,1
E 143 ,default,-0.339029727,0.112264386,-3.019922323,0.003511914,1
E 143 ,movie,-0.296515839,0.130694071,-2.268778044,0.026323317,1
E 143 ,labor,-0.144474029,0.059497299,-2.428245186,0.017707926,1
