F 165 ,Estimate,Std..Error,t.value,Pr...t..,
F 165 ,(Intercept),32.85794403,12.05700052,2.725217104,0.008085912,1
F 165 ,economics,-0.161920104,0.077776274,-2.08187016,0.040960059,1
F 165 ,inflation,0.107528544,0.041554586,2.587645638,0.011710695,1
F 165 ,dowjones,-0.185762644,0.06175201,-3.008204012,0.003634047,1
F 165 ,money,0.203235917,0.075960834,2.675535634,0.009256261,1
F 165 ,stockmarket,0.247618447,0.075262025,3.29008485,0.001561197,1
F 165 ,office,0.179268936,0.072099825,2.486399041,0.015258317,1
F 165 ,house,0.161908467,0.080906385,2.001182812,0.049196021,1
F 165 ,crisis,0.087493255,0.041702829,2.098017255,0.03946342,1
F 165 ,oil,-0.069437891,0.02857569,-2.429963741,0.017630762,1
F 165 ,default,-0.160831607,0.047698116,-3.371865006,0.001211383,1
F 165 ,food,-0.21222405,0.05643212,-3.760696066,0.000345131,1
F 165 ,energy,-0.160400181,0.066607658,-2.408134235,0.018633639,1
F 165 ,forex,-0.132441224,0.036240462,-3.654512586,0.000490116,1
