X 153 ,Estimate,Std..Error,t.value,Pr...t..,
X 153 ,(Intercept),39.63321863,41.72220991,0.949930953,0.345369742,1
X 153 ,inflation,0.352695177,0.143796061,2.452745747,0.016635907,1
X 153 ,dowjones,-0.663872199,0.213687502,-3.10674322,0.002719119,1
X 153 ,money,0.567734527,0.26285591,2.159869741,0.034160717,1
X 153 ,stockmarket,0.591812094,0.260437742,2.272374538,0.026094049,1
X 153 ,office,0.645451941,0.249495224,2.587031248,0.011729756,1
X 153 ,cash,0.208491313,0.096579222,2.1587595,0.034250129,1
X 153 ,war,-0.394515222,0.142658421,-2.765453448,0.007238986,1
X 153 ,nyse,-0.503797493,0.203641047,-2.473948653,0.015755548,1
X 153 ,shortselling,-0.300920661,0.14567627,-2.065680707,0.042509682,1
