FG 78 ,Estimate,Std..Error,t.value,Pr...t..,
FG 78 ,(Intercept),80.67766694,NA,NA,NA,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
FG 78 ,,,,,,1
