S 156 ,Estimate,Std..Error,t.value,Pr...t..,
S 156 ,(Intercept),63.93634599,29.44042831,2.171719287,0.033531711,1
S 156 ,hedge,0.26941372,0.09544854,2.822607026,0.006314218,1
S 156 ,invest,0.811217902,0.178168078,4.553104647,2.38E-05,1
S 156 ,returns,-0.139467115,0.060315754,-2.312283372,0.02393955,1
S 156 ,gain,0.257421071,0.110058868,2.338939846,0.022423748,1
S 156 ,economy,-0.472236983,0.169036151,-2.793704068,0.00683931,1
S 156 ,shortsell,-0.194732174,0.087080982,-2.236219314,0.028776069,1
S 156 ,buy,-0.34491298,0.142036783,-2.428335623,0.017944616,1
S 156 ,freedom,0.223049173,0.108518608,2.055400238,0.043862307,1
S 156 ,fond,-0.392791922,0.109646005,-3.582364203,0.000651247,1
S 156 ,consumption,0.23107012,0.09010271,2.564519076,0.012650886,1
S 156 ,fun,-0.277399723,0.137908244,-2.011480348,0.04842442,1
