G 415 ,Estimate,Std..Error,t.value,Pr...t..,
G 415 ,(Intercept),254.56122,168.1575398,1.513825787,0.141277383,1
G 415 ,dowjones,-2.085564278,0.997935807,-2.089878191,0.045832391,1
G 415 ,return,1.789227451,0.838794381,2.133094227,0.0418204,1
G 415 ,money,2.493455822,1.085105761,2.297891976,0.029247877,1
G 415 ,stockmarket,3.153056304,1.423553482,2.214919456,0.03507343,1
G 415 ,sell,-3.579992312,1.507046079,-2.375502887,0.02460801,1
G 415 ,metals,1.57336146,0.590357025,2.665101612,0.012629886,1
G 415 ,crisis,0.971892892,0.443916697,2.18935872,0.037067839,1
G 415 ,default,-1.541726078,0.575412508,-2.679340572,0.012211972,1
G 415 ,movie,1.771731326,0.842113461,2.103910467,0.044493701,1
G 415 ,consumption,-1.033083496,0.421266016,-2.452330491,0.020686531,1
G 415 ,fun,-1.536003868,0.704734236,-2.179550515,0.03785977,1
