H 400 ,Estimate,Std..Error,t.value,Pr...t..,
H 400 ,(Intercept),-84.27490991,54.02972752,-1.559787802,0.123256654,1
H 400 ,stocks,0.514500131,0.149230499,3.447687541,0.000954313,1
H 400 ,credit,1.40743478,0.382429683,3.680244611,0.000450418,1
H 400 ,dowjones,0.602624774,0.276722579,2.177721732,0.032750756,1
H 400 ,return,-0.482235955,0.234791904,-2.053886644,0.04367023,1
H 400 ,cancer,-0.494438807,0.207605435,-2.381627467,0.019919707,1
H 400 ,invest,0.558436078,0.274162756,2.036877967,0.045391971,1
H 400 ,ore,-0.323223168,0.158941959,-2.033592446,0.045731205,1
H 400 ,finance,-1.014480278,0.347707624,-2.917624483,0.004719812,1
H 400 ,success,-0.528971028,0.241940308,-2.186369986,0.032086198,1
H 400 ,oil,0.325909025,0.128053138,2.54510768,0.013098695,1
H 400 ,food,0.949742646,0.252883131,3.755658362,0.000350967,1
H 400 ,lifestyle,-0.285455177,0.112558804,-2.536053752,0.013412648,1
H 400 ,garden,-0.8971483,0.299391024,-2.996577151,0.003759115,1
H 400 ,transaction,0.645746707,0.220497475,2.928590033,0.004574005,1
