G 198 ,Estimate,Std..Error,t.value,Pr...t..,
G 198 ,(Intercept),-1.995891947,6.765461925,-0.295011925,0.768845713,1
G 198 ,restaurant,-0.107594834,0.045724688,-2.353101568,0.021391596,1
G 198 ,invest,0.077244634,0.034329947,2.250065613,0.027545097,1
G 198 ,sell,0.14641681,0.055664878,2.630326627,0.010453279,1
G 198 ,finance,-0.095121173,0.043539044,-2.184732696,0.032211099,1
G 198 ,arts,0.111526153,0.055560081,2.007307249,0.048524544,1
G 198 ,culture,0.108063614,0.046700339,2.313979254,0.023567282,1
G 198 ,tourism,-0.084112762,0.041108025,-2.046139711,0.04444732,1
G 198 ,conflict,0.047467432,0.019736579,2.405048622,0.018779434,1
G 198 ,trader,-0.053947569,0.025536921,-2.112532214,0.038158753,1
G 198 ,buy,-0.076368252,0.032141873,-2.375973948,0.020204036,1
G 198 ,lifestyle,0.033770942,0.014094321,2.396067378,0.019209614,1
G 198 ,crash,-0.027065272,0.012280382,-2.203943843,0.030772041,1
