I 404 ,Estimate,Std..Error,t.value,Pr...t..,
I 404 ,(Intercept),46.98189612,65.42367085,0.718117701,0.475041153,1
I 404 ,economics,-1.193730388,0.422029455,-2.828547563,0.006073333,1
I 404 ,cancer,-0.616871675,0.251385863,-2.453883718,0.01658756,1
I 404 ,invest,1.709617553,0.331978982,5.149776483,2.24E-06,1
I 404 ,happy,0.518354584,0.254713892,2.035046377,0.045580817,1
I 404 ,chance,0.286749298,0.135688905,2.113284773,0.038092143,1
I 404 ,success,-0.820795866,0.292961372,-2.80172045,0.006546093,1
I 404 ,war,-0.538873617,0.223699502,-2.408917376,0.018596797,1
I 404 ,culture,0.985291373,0.451603691,2.181761117,0.032438874,1
I 404 ,lifestyle,0.683482243,0.136295526,5.014707833,3.77E-06,1
