M 225 ,Estimate,Std..Error,t.value,Pr...t..,
M 225 ,(Intercept),26.46655819,31.3490524,0.84425385,0.4013633,1
M 225 ,economics,-0.457963429,0.202223803,-2.264636618,0.026589522,1
M 225 ,office,0.458044591,0.187464635,2.443365337,0.017039275,1
M 225 ,invest,0.515944081,0.159074328,3.243415114,0.001801346,1
M 225 ,finance,-0.454079177,0.201746428,-2.250742091,0.027500073,1
M 225 ,success,-0.418472781,0.140378265,-2.981036852,0.003932522,1
M 225 ,food,0.343265302,0.146727494,2.339474982,0.022128252,1
M 225 ,greed,-0.181991192,0.075753946,-2.402398842,0.018905448,1
M 225 ,fond,-0.365818116,0.116274969,-3.146146746,0.002417443,1
M 225 ,consumption,0.245910752,0.098402906,2.499019201,0.014768749,1
