R 234 ,Estimate,Std..Error,t.value,Pr...t..,
R 234 ,(Intercept),-8.561245449,19.21567934,-0.445534363,0.657289204,1
R 234 ,unemployment,-0.149851391,0.05147865,-2.910942523,0.004810755,1
R 234 ,money,0.262359941,0.121061538,2.167161806,0.033578507,1
R 234 ,office,0.249358484,0.114908108,2.170068652,0.033348847,1
R 234 ,invest,-0.289741123,0.097506019,-2.971520396,0.004042343,1
R 234 ,sell,-0.473964312,0.158102795,-2.997823737,0.003745517,1
R 234 ,gains,0.147616786,0.054576776,2.704754627,0.008550521,1
R 234 ,movie,0.211451977,0.088497614,2.389352286,0.019536974,1
R 234 ,food,-0.229518138,0.089937917,-2.551961905,0.012865448,1
R 234 ,fond,0.165564573,0.071271772,2.323003446,0.023048722,1
