S 235 ,Estimate,Std..Error,t.value,Pr...t..,
S 235 ,(Intercept),102.5728926,41.97825764,2.443476656,0.017034437,1
S 235 ,dowjones,-0.445566494,0.214998895,-2.072412948,0.041859239,1
S 235 ,growth,-0.903845852,0.327893029,-2.756526588,0.007419545,1
S 235 ,hedge,0.275388892,0.130152691,2.115890882,0.037862253,1
S 235 ,stockmarket,0.525225717,0.262036039,2.004402593,0.048842021,1
S 235 ,bonds,-0.286710445,0.112863213,-2.540335663,0.013263332,1
S 235 ,sell,-1.037358305,0.345388771,-3.003451163,0.003684698,1
S 235 ,car,-0.729823265,0.315085536,-2.316270284,0.023434662,1
S 235 ,rich,0.366720567,0.120063014,3.054400798,0.00317433,1
S 235 ,water,0.819636493,0.304133163,2.694992173,0.008780659,1
S 235 ,returns,-0.221918907,0.087206936,-2.544739188,0.013111342,1
S 235 ,present,0.497124214,0.246762602,2.014584904,0.047736863,1
S 235 ,financialmarkets,0.272673028,0.122404974,2.227630293,0.029075582,1
S 235 ,consumption,0.499693312,0.131767382,3.792238303,0.000310646,1
