L 268 ,Estimate,Std..Error,t.value,Pr...t..,
L 268 ,(Intercept),-622.8180101,255.6446896,-2.436264219,0.017350435,1
L 268 ,economics,-3.749210691,1.649091036,-2.273501346,0.026022581,1
L 268 ,portfolio,-3.33125444,1.382504797,-2.409578937,0.018565725,1
L 268 ,credit,7.199701753,1.809487519,3.978862345,0.000164998,1
L 268 ,growth,4.417930715,1.996845897,2.212454512,0.030152756,1
L 268 ,marriage,-1.518533507,0.585732149,-2.592539113,0.011559879,1
L 268 ,office,6.118285067,1.52873324,4.002192736,0.000152273,1
L 268 ,happy,2.591000435,0.995301136,2.603232671,0.011236413,1
L 268 ,returns,-1.275780899,0.531084215,-2.402219578,0.018914001,1
L 268 ,success,-2.67720349,1.144754154,-2.338671129,0.022172404,1
L 268 ,war,2.104320038,0.874111601,2.407381431,0.018669115,1
L 268 ,crash,-1.042719315,0.464035491,-2.247068028,0.027745391,1
