E 238 ,Estimate,Std..Error,t.value,Pr...t..,
E 238 ,(Intercept),3.014266958,11.34417678,0.265710507,0.791232201,1
E 238 ,stocks,0.083053496,0.031332698,2.650697191,0.009897502,1
E 238 ,housing,-0.168479893,0.060687617,-2.776182371,0.007027309,1
E 238 ,inflation,0.121183059,0.039097832,3.09948286,0.002778402,1
E 238 ,society,0.211913576,0.082092636,2.581395686,0.011905909,1
E 238 ,office,0.136099799,0.067837201,2.006270864,0.048637617,1
E 238 ,happy,0.112254114,0.044166269,2.541625494,0.013218649,1
E 238 ,sell,-0.277747712,0.093337635,-2.975731205,0.003993404,1
E 238 ,banking,-0.086196541,0.03634251,-2.371782817,0.020417147,1
E 238 ,ore,-0.081481007,0.033371734,-2.441617437,0.017115397,1
E 238 ,derivatives,-0.081980899,0.035707786,-2.295882999,0.024638398,1
E 238 ,oil,0.060667342,0.026886262,2.256443873,0.027123146,1
E 238 ,default,-0.116687704,0.044878148,-2.600100682,0.011330291,1
E 238 ,arts,-0.229078017,0.093161913,-2.458923497,0.016374955,1
E 238 ,tourism,0.191183844,0.068929026,2.773633332,0.00707708,1
E 238 ,conflict,-0.073508746,0.033093859,-2.221220149,0.029526377,1
E 238 ,opportunity,-0.171822692,0.050234122,-3.420437814,0.001040107,1
E 238 ,rareearths,-0.050111002,0.020062733,-2.497715606,0.014818656,1
E 238 ,kitchen,-0.220691005,0.078458951,-2.812821237,0.006346513,1
E 238 ,crash,-0.04272749,0.020591473,-2.075008953,0.04161073,1
E 238 ,consume,0.088147674,0.04391042,2.007443186,0.04850973,1
E 238 ,transaction,0.122678725,0.046296038,2.649875228,0.009919397,1
