LK 61 ,Estimate,Std..Error,t.value,Pr...t..,
LK 61 ,(Intercept),145.2018574,126.4501928,1.148292891,0.254701826,1
LK 61 ,economics,-2.35738206,0.815694156,-2.890031811,0.005105921,1
LK 61 ,housing,-1.761666081,0.676466972,-2.604215954,0.011207086,1
LK 61 ,unemployment,-0.734864007,0.338759046,-2.169282314,0.033410838,1
LK 61 ,invest,2.587169387,0.641645534,4.032085084,0.000137342,1
LK 61 ,loss,-1.695249234,0.589416885,-2.876146368,0.005311062,1
LK 61 ,banking,1.055507991,0.405099244,2.605554088,0.011167287,1
LK 61 ,metals,1.596954105,0.548988327,2.908903572,0.004838827,1
LK 61 ,risk,1.539702817,0.678782738,2.268329367,0.026352043,1
LK 61 ,water,-2.142380695,0.916133713,-2.338502189,0.022181693,1
LK 61 ,holiday,-1.217897109,0.591763803,-2.058079766,0.043254529,1
LK 61 ,success,-2.111295981,0.566232702,-3.728671928,0.000383868,1
LK 61 ,gain,1.068800402,0.48881374,2.186518736,0.032074872,1
LK 61 ,arts,-2.175872097,1.038448369,-2.095310814,0.039710917,1
LK 61 ,greed,-1.168638681,0.305562698,-3.824546279,0.000278751,1
LK 61 ,home,2.233493929,0.926443994,2.410824554,0.018507347,1
