T 246 ,Estimate,Std..Error,t.value,Pr...t..,
T 246 ,(Intercept),-80.28404884,69.8342436,-1.149637265,0.254151142,1
T 246 ,stocks,0.559181301,0.192882687,2.899074616,0.004976283,1
T 246 ,economics,-1.616400464,0.450480803,-3.588167248,0.00060841,1
T 246 ,credit,1.154585086,0.494296175,2.33581635,0.022329837,1
T 246 ,office,0.847826554,0.417602766,2.030222554,0.046081414,1
T 246 ,invest,0.81547939,0.354359527,2.301276888,0.024314715,1
T 246 ,loss,-0.901117984,0.325515378,-2.768280835,0.007182643,1
T 246 ,happy,0.624077806,0.271885569,2.295369363,0.024669419,1
T 246 ,car,1.081687305,0.5241704,2.06361768,0.042710743,1
T 246 ,risk,0.881220135,0.374869172,2.350740473,0.021517654,1
T 246 ,success,-1.105234512,0.312711524,-3.534358116,0.000723798,1
T 246 ,oil,0.545308506,0.165510626,3.2947039,0.001539141,1
T 246 ,food,0.997003935,0.326855289,3.050291583,0.003212917,1
T 246 ,culture,1.065314339,0.482048802,2.209971966,0.03033226,1
T 246 ,conflict,0.439556419,0.203724311,2.15760415,0.03434339,1
T 246 ,greed,-0.346042994,0.168752134,-2.050599212,0.043998548,1
T 246 ,freedom,0.639261245,0.259321212,2.465132872,0.016116374,1
T 246 ,transaction,0.572636544,0.284996336,2.009276864,0.048310275,1
T 246 ,forex,0.434620678,0.209905046,2.070558501,0.042037544,1
T 246 ,fun,-0.865904195,0.324978027,-2.664500746,0.00953632,1
