LV 26 ,Estimate,Std..Error,t.value,Pr...t..,
LV 26 ,(Intercept),21.52876788,52.68608943,0.408623379,0.684045938,1
LV 26 ,economics,-0.722813099,0.339862948,-2.126778171,0.036914848,1
LV 26 ,inflation,0.430593746,0.181583194,2.371330392,0.020440271,1
LV 26 ,dowjones,-0.72853009,0.269840905,-2.699850458,0.008665434,1
LV 26 ,money,1.28393844,0.331929925,3.868100898,0.00024068,1
LV 26 ,stockmarket,0.879405681,0.328876304,2.673970945,0.00929551,1
LV 26 ,office,1.048976453,0.31505828,3.329467974,0.001382303,1
LV 26 ,house,0.739467996,0.353540752,2.091606107,0.040051885,1
LV 26 ,rich,0.449833925,0.150688739,2.98518607,0.00388551,1
LV 26 ,crisis,0.410677108,0.182230976,2.253607572,0.027310072,1
LV 26 ,travel,1.010183132,0.449222265,2.248737896,0.027633655,1
LV 26 ,success,-0.720522608,0.235923617,-3.05405037,0.003177604,1
LV 26 ,default,-0.800213338,0.208428886,-3.839263134,0.000265285,1
LV 26 ,food,-0.736159831,0.246594308,-2.985307476,0.003884143,1
LV 26 ,nyse,-0.84209187,0.257154413,-3.274654554,0.001637052,1
LV 26 ,tourism,-0.64986096,0.320129076,-2.029996674,0.04610497,1
LV 26 ,bubble,-0.40846482,0.17464968,-2.338766495,0.022167161,1
LV 26 ,lifestyle,-0.244016738,0.109759636,-2.223191945,0.029387061,1
LV 26 ,forex,-0.326091202,0.158361793,-2.059153259,0.043148655,1
