LY 25 ,Estimate,Std..Error,t.value,Pr...t..,
LY 25 ,(Intercept),74.10741605,NA,NA,NA,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
LY 25 ,,,,,,1
