M 432 ,Estimate,Std..Error,t.value,Pr...t..,
M 432 ,(Intercept),20.02445269,18.83931141,1.062907888,0.291425623,1
M 432 ,stocks,0.104689836,0.052034315,2.0119384,0.048022022,1
M 432 ,economics,-0.25882609,0.121527029,-2.129782091,0.036657106,1
M 432 ,credit,0.357138381,0.133347182,2.678259688,0.009188289,1
M 432 ,invest,0.261074025,0.095596217,2.731007923,0.007958683,1
M 432 ,loss,0.185551938,0.087814878,2.112989764,0.038118243,1
M 432 ,happy,0.20893873,0.073347066,2.848631037,0.005740194,1
M 432 ,risk,0.210043249,0.101129141,2.076980451,0.041422858,1
M 432 ,travel,-0.358910156,0.160631359,-2.234371657,0.02860803,1
M 432 ,movie,-0.181030826,0.086764256,-2.086467801,0.040528991,1
M 432 ,food,0.230311517,0.088176348,2.611942112,0.010979053,1
M 432 ,arts,-0.397245858,0.154714293,-2.567609298,0.012346975,1
M 432 ,lifestyle,-0.125406997,0.039247475,-3.1952883,0.00208501,1
M 432 ,greed,-0.150384678,0.045524571,-3.303373833,0.001498531,1
