R 258 ,Estimate,Std..Error,t.value,Pr...t..,
R 258 ,(Intercept),10.82434903,32.7438158,0.330576897,0.741937652,1
R 258 ,stocks,0.22196698,0.090438656,2.454337432,0.016568319,1
R 258 ,credit,0.815212181,0.231765135,3.517406453,0.000764258,1
R 258 ,revenue,-0.186790214,0.092066127,-2.028870123,0.04622261,1
R 258 ,hedge,0.20664791,0.101521501,2.035508809,0.045533074,1
R 258 ,cancer,-0.259593771,0.125815814,-2.063284128,0.042743328,1
R 258 ,invest,0.704869114,0.166151769,4.242320857,6.57E-05,1
R 258 ,happy,0.485130868,0.127481455,3.805501491,0.000297152,1
R 258 ,profit,-0.301724779,0.14244227,-2.11822501,0.037657379,1
R 258 ,success,-0.571276837,0.146623891,-3.896205678,0.000218814,1
R 258 ,default,-0.307550883,0.129536223,-2.374246178,0.020291648,1
R 258 ,food,0.561064538,0.153255607,3.660972349,0.000479848,1
R 258 ,fond,-0.352232817,0.121448206,-2.900271876,0.004959349,1
R 258 ,crash,-0.143532381,0.059435198,-2.414939083,0.018315679,1
R 258 ,consume,0.330092881,0.126742976,2.604427425,0.011200788,1
R 258 ,transaction,0.308220588,0.133628819,2.306542773,0.02400235,1
