MC 88 ,Estimate,Std..Error,t.value,Pr...t..,
MC 88 ,(Intercept),24.91104265,18.15829586,1.371882188,0.17441955,1
MC 88 ,restaurant,-0.270458206,0.122723683,-2.203797986,0.030782751,1
MC 88 ,economics,-0.351755639,0.117133992,-3.00301931,0.003689333,1
MC 88 ,credit,-0.390986726,0.128526862,-3.042062337,0.003291508,1
MC 88 ,office,0.265197275,0.108585046,2.442300152,0.017085628,1
MC 88 ,cash,0.109319495,0.042033106,2.600795051,0.011309417,1
MC 88 ,travel,0.361316657,0.154824753,2.333713758,0.022446423,1
MC 88 ,war,-0.147720539,0.062087646,-2.379225944,0.020040046,1
MC 88 ,oil,0.100443177,0.043036063,2.333930411,0.022434385,1
MC 88 ,nyse,-0.207336941,0.08862844,-2.339395135,0.022132634,1
MC 88 ,arts,-0.314840609,0.149121581,-2.11130144,0.038267909,1
MC 88 ,culture,0.498205207,0.125342301,3.974757158,0.00016734,1
MC 88 ,energy,0.272321879,0.100313636,2.714704501,0.008321642,1
MC 88 ,rareearths,-0.066363767,0.032113837,-2.066516241,0.042428484,1
