T 265 ,Estimate,Std..Error,t.value,Pr...t..,
T 265 ,(Intercept),6.943786368,26.82017902,0.258901567,0.796460325,1
T 265 ,restaurant,-0.380905125,0.181265421,-2.101366725,0.039158971,1
T 265 ,economics,-0.399229197,0.173009331,-2.307558756,0.023942494,1
T 265 ,dowjones,-0.461521304,0.137364178,-3.359837412,0.00125773,1
T 265 ,stockmarket,0.525801666,0.167416512,3.140679842,0.002457343,1
T 265 ,office,0.469805416,0.160382362,2.929283559,0.004564925,1
T 265 ,fed,0.221379939,0.097579233,2.268719802,0.026327044,1
T 265 ,rich,0.157873605,0.076709033,2.058083631,0.043254147,1
T 265 ,success,-0.26590653,0.120098373,-2.214072702,0.030036252,1
T 265 ,oil,0.143112779,0.063565157,2.251434387,0.027454062,1
T 265 ,economy,-0.345630458,0.150509824,-2.296397995,0.02460733,1
T 265 ,nyse,-0.265419271,0.130906041,-2.027555553,0.046360209,1
T 265 ,culture,0.655153035,0.185133174,3.538820303,0.000713491,1
T 265 ,present,-0.408205932,0.157658215,-2.589182759,0.01166313,1
T 265 ,energy,0.364201723,0.148165317,2.458076756,0.016410504,1
