C 275 ,Estimate,Std..Error,t.value,Pr...t..,
C 275 ,(Intercept),186.75459,NA,NA,NA,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
C 275 ,,,,,,1
