N 317 ,Estimate,Std..Error,t.value,Pr...t..,
N 317 ,(Intercept),183.1923512,633.9899841,0.288951491,0.773460503,1
N 317 ,cancer,-5.554492858,2.436062009,-2.280111441,0.025606807,1
N 317 ,invest,11.02421838,3.217051973,3.426807673,0.001019422,1
N 317 ,car,19.64016252,4.758679502,4.127229521,9.86E-05,1
N 317 ,house,9.317278114,4.254278467,2.190095967,0.03180354,1
N 317 ,risk,11.71326208,3.403248723,3.441788429,0.000972298,1
N 317 ,chance,3.198796571,1.314897281,2.432734949,0.017506967,1
N 317 ,success,-7.986490427,2.838950689,-2.813183919,0.006340088,1
N 317 ,shortsell,-4.119647157,1.919003247,-2.146764037,0.035229266,1
N 317 ,nyse,-6.314953591,3.094428227,-2.040749737,0.044994988,1
N 317 ,culture,12.25083256,4.376278694,2.799372118,0.006589046,1
N 317 ,present,-9.482012237,3.726810669,-2.544269908,0.013127464,1
N 317 ,trader,-4.779958315,2.393059399,-1.997425687,0.049611876,1
N 317 ,kitchen,-11.2006204,4.384821421,-2.554407427,0.01278314,1
