C 293 ,Estimate,Std..Error,t.value,Pr...t..,
C 293 ,(Intercept),-78.21059132,67.68401177,-1.155525349,0.251749229,1
C 293 ,stocks,0.553741387,0.186943731,2.962075189,0.004154148,1
C 293 ,economics,-1.153218297,0.436610271,-2.64129906,0.010150486,1
C 293 ,invest,0.732250336,0.343448618,2.132052071,0.036463376,1
C 293 ,loss,-0.733798436,0.315492595,-2.325881649,0.022885472,1
C 293 ,car,1.067147277,0.508030927,2.100555733,0.039232498,1
C 293 ,risk,0.887294505,0.36332676,2.442139152,0.017092644,1
C 293 ,success,-1.247498297,0.303082977,-4.116028913,0.000102566,1
C 293 ,oil,0.422646423,0.16041447,2.634715082,0.010331205,1
C 293 ,default,-0.67314861,0.26776144,-2.51398637,0.014206489,1
C 293 ,food,0.853247305,0.316791248,2.693405547,0.008818592,1
C 293 ,lifestyle,-0.367914707,0.141004439,-2.609242021,0.011058261,1
C 293 ,transaction,0.733652864,0.276221154,2.656034317,0.009756401,1
