O 274 ,Estimate,Std..Error,t.value,Pr...t..,
O 274 ,(Intercept),3.333032928,43.61163222,0.07642532,0.939295677,1
O 274 ,housing,0.638976495,0.233307899,2.738769232,0.007791033,1
O 274 ,happy,0.374226002,0.169793111,2.204011697,0.03076706,1
O 274 ,profit,0.397901143,0.189719486,2.097312996,0.039527693,1
O 274 ,travel,0.832562883,0.371849883,2.238975781,0.02829252,1
O 274 ,economy,-0.805486649,0.244740316,-3.291189051,0.001555898,1
O 274 ,tourism,-0.873459177,0.264991228,-3.296181478,0.001532148,1
O 274 ,conflict,0.31313619,0.127226261,2.461254353,0.016277457,1
O 274 ,financialmarkets,0.276685042,0.127167753,2.175748453,0.032904064,1
O 274 ,consumption,0.513161027,0.136894452,3.748588918,0.000359316,1
O 274 ,garden,-0.61090084,0.241661985,-2.527914515,0.013700664,1
O 274 ,labor,-0.275158429,0.091436485,-3.009284843,0.003622619,1
