G 313 ,Estimate,Std..Error,t.value,Pr...t..,
G 313 ,(Intercept),4.074695729,24.69108794,0.165026982,0.869391708,1
G 313 ,restaurant,-0.342529634,0.166875861,-2.05260145,0.043798331,1
G 313 ,economics,-0.367026873,0.159275172,-2.304357102,0.024131567,1
G 313 ,dowjones,-0.310184045,0.12645967,-2.452829778,0.016632333,1
G 313 ,stockmarket,0.336655636,0.154126332,2.184283704,0.032245425,1
G 313 ,chance,0.117543221,0.051209396,2.295344781,0.024670904,1
G 313 ,default,-0.222485514,0.097679217,-2.277715989,0.025756798,1
G 313 ,culture,0.359738311,0.170436576,2.110687268,0.03832248,1
G 313 ,greed,-0.137988336,0.059665195,-2.312710707,0.023641,1
G 313 ,labor,0.210913006,0.051767526,4.074233836,0.000118661,1
