L 330 ,Estimate,Std..Error,t.value,Pr...t..,
L 330 ,(Intercept),16.82678103,17.85426117,0.942451826,0.349157211,1
L 330 ,economics,-0.278956355,0.11517275,-2.422069059,0.017987739,1
L 330 ,unemployment,-0.125143395,0.047831422,-2.61634279,0.010851059,1
L 330 ,investment,0.477815074,0.194699332,2.454117691,0.016577636,1
L 330 ,marriage,-0.112169137,0.040907616,-2.742011102,0.007721967,1
L 330 ,headlines,0.076640922,0.034281642,2.235625778,0.028521782,1
L 330 ,loss,-0.21022381,0.083223305,-2.526020916,0.013768466,1
L 330 ,happy,0.161713563,0.069511972,2.326413128,0.02285544,1
L 330 ,gain,0.207366926,0.069018544,3.004510298,0.003673354,1
L 330 ,default,0.287826564,0.070632378,4.07499469,0.000118348,1
L 330 ,food,0.174441021,0.083565875,2.087467165,0.040435814,1
L 330 ,nyse,-0.17765026,0.087144484,-2.038571499,0.045217959,1
L 330 ,culture,0.265445137,0.123243623,2.153824516,0.034650038,1
L 330 ,forex,0.141027873,0.053665642,2.62789875,0.010521377,1
