R 334 ,Estimate,Std..Error,t.value,Pr...t..,
R 334 ,(Intercept),25.63466866,21.87436286,1.171904701,0.245152811,1
R 334 ,economics,-0.390582222,0.141105281,-2.768019877,0.007187826,1
R 334 ,invest,0.294282275,0.110996962,2.651264232,0.009882423,1
R 334 ,profit,-0.245268443,0.095157935,-2.577488077,0.012029453,1
R 334 ,war,-0.253707456,0.074793787,-3.392092681,0.001137052,1
R 334 ,gain,0.20816093,0.084558899,2.461727052,0.016257748,1
R 334 ,default,0.231465193,0.086536107,2.674781664,0.009275155,1
R 334 ,food,0.287955664,0.102381737,2.812568641,0.006350992,1
R 334 ,culture,0.393835519,0.150993408,2.608296118,0.011086132,1
R 334 ,energy,0.431422191,0.120842665,3.570114823,0.00064502,1
R 334 ,lifestyle,0.129834011,0.045570323,2.849091309,0.005732761,1
R 334 ,fond,-0.178793116,0.081132943,-2.203705554,0.03078954,1
