Q 197 ,Estimate,Std..Error,t.value,Pr...t..,
Q 197 ,(Intercept),12.98306189,10.88086137,1.193201665,0.236762407,1
Q 197 ,stocks,0.077621755,0.030053018,2.582827284,0.011860936,1
Q 197 ,economics,-0.14069004,0.070189336,-2.004436118,0.048838347,1
Q 197 ,cancer,-0.140421093,0.041808946,-3.358637487,0.001262444,1
Q 197 ,office,0.205167744,0.065066614,3.153195323,0.002366892,1
Q 197 ,invest,0.252070385,0.055212696,4.565442401,2.04E-05,1
Q 197 ,banking,0.104559178,0.034858221,2.999555802,0.003726699,1
Q 197 ,finance,-0.206775481,0.070023645,-2.952937984,0.004265026,1
Q 197 ,risk,0.149282522,0.058408301,2.555844295,0.012735003,1
Q 197 ,gold,-0.123290372,0.041138284,-2.996974092,0.00375478,1
Q 197 ,success,-0.183864846,0.048723528,-3.77363571,0.000330564,1
Q 197 ,food,0.104486691,0.050927266,2.051684675,0.043889907,1
Q 197 ,lifestyle,0.050538723,0.022667831,2.229535,0.028942803,1
Q 197 ,kitchen,-0.229113978,0.075254555,-3.044519739,0.003267854,1
Q 197 ,shortselling,-0.104675584,0.037991355,-2.755247441,0.007445753,1
