R 350 ,Estimate,Std..Error,t.value,Pr...t..,
R 350 ,(Intercept),81.79006128,49.25800786,1.660441923,0.101236043,1
R 350 ,economics,-0.718933537,0.317749371,-2.262580522,0.026722566,1
R 350 ,dowjones,-1.072427609,0.252283393,-4.250884678,6.37E-05,1
R 350 ,stockmarket,1.169590517,0.307477585,3.80382367,0.000298827,1
R 350 ,sell,-0.910136737,0.40528511,-2.245670304,0.027839222,1
R 350 ,risk,0.619626761,0.264416247,2.343376276,0.021915078,1
R 350 ,rich,0.468235997,0.140884001,3.323556914,0.001407863,1
R 350 ,success,-0.574693515,0.220572973,-2.605457544,0.011170154,1
R 350 ,food,-0.478523066,0.230549363,-2.075577482,0.041556477,1
R 350 ,arts,-0.895250206,0.404522103,-2.213105783,0.030105819,1
R 350 ,bubble,-0.559518962,0.163285896,-3.426621508,0.001020021,1
R 350 ,lifestyle,0.235794897,0.102617998,2.297792809,0.024523358,1
R 350 ,dividend,0.427013757,0.15593873,2.738343167,0.007800152,1
R 350 ,home,1.048605641,0.360891388,2.905598958,0.004884645,1
