RL 65 ,Estimate,Std..Error,t.value,Pr...t..,
RL 65 ,(Intercept),-7.929416799,NA,NA,NA,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
RL 65 ,,,,,,1
