Y 343 ,Estimate,Std..Error,t.value,Pr...t..,
Y 343 ,(Intercept),-275.6734984,NA,NA,NA,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
Y 343 ,,,,,,1
