S 121 ,Estimate,Std..Error,t.value,Pr...t..,
S 121 ,(Intercept),-38.77918276,29.8972685,-1.297081128,0.198802475,1
S 121 ,unemployment,-0.246067816,0.080094541,-3.072217064,0.003011967,1
S 121 ,money,0.486843732,0.188357082,2.584685037,0.011802804,1
S 121 ,office,0.499361326,0.178783092,2.793112703,0.006704801,1
S 121 ,success,-0.343243045,0.133877306,-2.563862803,0.012469364,1
S 121 ,economy,-0.365413579,0.167777874,-2.177960478,0.032732249,1
S 121 ,tourism,-0.427091783,0.181660568,-2.35104287,0.021501472,1
S 121 ,trader,-0.246121669,0.112850268,-2.18095778,0.032500692,1
S 121 ,crash,-0.119558343,0.054268265,-2.203098694,0.030834143,1
S 121 ,consume,0.381354599,0.115724716,3.295359999,0.001536032,1
