E 367 ,Estimate,Std..Error,t.value,Pr...t..,
E 367 ,(Intercept),110.5264923,29.29967357,3.772277259,0.000332065,1
E 367 ,economics,-0.415194577,0.189003844,-2.196752025,0.031304024,1
E 367 ,marriage,-0.15092495,0.067131302,-2.248205322,0.027669248,1
E 367 ,happy,0.317556062,0.114072381,2.783811996,0.00688025,1
E 367 ,rich,0.180962476,0.083800694,2.159438862,0.034195393,1
E 367 ,gain,0.265147431,0.113262643,2.340996328,0.022044905,1
E 367 ,food,0.30780343,0.137135491,2.244520569,0.027916615,1
E 367 ,culture,0.519693917,0.202248522,2.569580793,0.012283009,1
E 367 ,lifestyle,0.188077071,0.06103929,3.081246032,0.00293267,1
E 367 ,fun,-0.330802984,0.136347866,-2.426169128,0.017801545,1
