T 194 ,Estimate,Std..Error,t.value,Pr...t..,
T 194 ,(Intercept),102.0801484,NA,NA,NA,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
T 194 ,,,,,,1
