X 384 ,Estimate,Std..Error,t.value,Pr...t..,
X 384 ,(Intercept),24.68046786,19.83034513,1.244580853,0.217378561,1
X 384 ,economics,-0.360398682,0.127919905,-2.817377658,0.006266224,1
X 384 ,money,0.335957944,0.12493402,2.689082949,0.008922694,1
X 384 ,risk,0.234880923,0.106448995,2.20651142,0.030584045,1
X 384 ,default,-0.208436394,0.078449868,-2.656937484,0.009732705,1
X 384 ,movie,0.213896622,0.091328451,2.342059008,0.021986851,1
X 384 ,nyse,-0.209583114,0.09678951,-2.165349478,0.033722391,1
X 384 ,trader,-0.178620911,0.074851646,-2.386332448,0.019685807,1
X 384 ,world,-0.142354237,0.041292041,-3.4474982,0.000954885,1
X 384 ,fond,0.232723519,0.073551594,3.164085332,0.002290731,1
X 384 ,fun,-0.370700229,0.092281753,-4.017047966,0.000144668,1
