TR 82 ,Estimate,Std..Error,t.value,Pr...t..,
TR 82 ,(Intercept),-790.4953985,NA,NA,NA,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
TR 82 ,,,,,,1
