N 387 ,Estimate,Std..Error,t.value,Pr...t..,
N 387 ,(Intercept),44.34862972,26.77917179,1.656086681,0.102117752,1
N 387 ,economics,-0.382963676,0.172744805,-2.216933096,0.029831281,1
N 387 ,dowjones,-0.431780806,0.137154152,-3.148142426,0.002403029,1
N 387 ,stockmarket,0.406863997,0.167160538,2.433971573,0.017451976,1
N 387 ,invest,0.464365237,0.135885408,3.417329687,0.001050343,1
N 387 ,profit,-0.2679733,0.116494853,-2.300301621,0.02437296,1
N 387 ,crisis,0.21332826,0.092623967,2.303164784,0.024202316,1
N 387 ,lifestyle,0.223501218,0.055788391,4.006231671,0.000150168,1
N 387 ,home,0.466081544,0.196199012,2.375555,0.020225249,1
N 387 ,forex,-0.189838683,0.08049179,-2.358485035,0.021106627,1
N 387 ,labor,0.132036429,0.056145419,2.351686599,0.021467061,1
