U 218 ,Estimate,Std..Error,t.value,Pr...t..,
U 218 ,(Intercept),14.21747431,16.11427014,0.882290925,0.381459416,1
U 218 ,credit,-0.267801456,0.130200438,-2.056839896,0.044457036,1
U 218 ,invest,0.226195983,0.1044655,2.165269707,0.034721765,1
U 218 ,car,0.295631432,0.13409996,2.204560187,0.031686555,1
U 218 ,holiday,0.226157337,0.080482423,2.810021464,0.00684808,1
U 218 ,chance,0.161172442,0.046628993,3.456485597,0.001062556,1
U 218 ,war,-0.177236564,0.059363925,-2.98559374,0.004218527,1
U 218 ,gain,0.133239053,0.062473329,2.132734968,0.037425233,1
U 218 ,culture,0.307093206,0.122242684,2.512160209,0.01496302,1
U 218 ,present,-0.283324212,0.102874075,-2.75408758,0.007962103,1
U 218 ,bubble,0.118520164,0.054233315,2.18537562,0.033138089,1
U 218 ,politics,0.097601033,0.048054554,2.031046505,0.047094812,1
U 218 ,buy,-0.206381028,0.079264305,-2.603707035,0.011833557,1
U 218 ,lifestyle,0.113380364,0.038562221,2.940192791,0.004789335,1
U 218 ,freedom,0.133791039,0.066246253,2.019601606,0.0483079,1
U 218 ,consumption,-0.123276075,0.050621128,-2.435269251,0.018150741,1
U 218 ,fun,-0.205473114,0.078147803,-2.629288412,0.011072589,1
