I 397 ,Estimate,Std..Error,t.value,Pr...t..,
I 397 ,(Intercept),10.28588321,13.76904274,0.747029652,0.457512464,1
I 397 ,dowjones,0.201705324,0.07052053,2.860235515,0.005555457,1
I 397 ,cancer,-0.136780437,0.05290658,-2.585319949,0.011782996,1
I 397 ,invest,0.18151374,0.06986818,2.59794575,0.011395295,1
I 397 ,loss,-0.149504683,0.064181051,-2.329420925,0.022686134,1
I 397 ,sell,0.263832587,0.11328895,2.328846601,0.022718376,1
I 397 ,finance,-0.296480503,0.088610499,-3.345884573,0.001313588,1
I 397 ,chance,0.073356731,0.028557039,2.568779272,0.012308979,1
I 397 ,movie,-0.147766268,0.063413185,-2.330213614,0.0226417,1
I 397 ,food,0.154833805,0.064445238,2.402563954,0.018897574,1
I 397 ,tourism,-0.268859882,0.083662898,-3.213609479,0.001972417,1
I 397 ,lifestyle,0.079571975,0.028684708,2.774020681,0.007069496,1
I 397 ,labor,-0.067795962,0.028868281,-2.348458527,0.021640113,1
