M 401 ,Estimate,Std..Error,t.value,Pr...t..,
M 401 ,(Intercept),21.37511953,16.66328427,1.282767501,0.203745461,1
M 401 ,stocks,0.145358175,0.046024112,3.158304839,0.002330868,1
M 401 ,economics,-0.379259706,0.107490098,-3.528322267,0.000737966,1
M 401 ,cancer,-0.181070957,0.0640275,-2.828018541,0.006082344,1
M 401 ,headlines,0.07215641,0.031994869,2.255249453,0.027201726,1
M 401 ,invest,0.402011775,0.084554414,4.754474143,1.01E-05,1
M 401 ,finance,-0.342212108,0.107236354,-3.191194915,0.002110976,1
M 401 ,car,0.263262845,0.125073316,2.104868204,0.038842884,1
M 401 ,risk,0.206427876,0.08944826,2.307790848,0.023928839,1
M 401 ,rich,0.095328964,0.047659056,2.000227683,0.049301455,1
M 401 ,chance,0.118171751,0.034559706,3.419350639,0.001043676,1
M 401 ,success,-0.195587451,0.074616703,-2.621228794,0.010710538,1
M 401 ,oil,0.094193857,0.039492811,2.385088678,0.019747399,1
M 401 ,economy,-0.227197286,0.093511232,-2.429625632,0.017645919,1
M 401 ,culture,0.334616945,0.115022599,2.909140876,0.004835552,1
M 401 ,fond,-0.159653705,0.06180483,-2.583191379,0.011849522,1
M 401 ,kitchen,-0.255897222,0.11524713,-2.220421655,0.029582959,1
M 401 ,home,0.265282709,0.122084429,2.172944658,0.033122976,1
