V 253 ,Estimate,Std..Error,t.value,Pr...t..,
V 253 ,(Intercept),6.586664484,22.43957118,0.293528982,0.769974152,1
V 253 ,revenue,-0.140296854,0.063093575,-2.22363139,0.029356091,1
V 253 ,unemployment,-0.161243498,0.06011543,-2.682231463,0.009089999,1
V 253 ,invest,0.30128356,0.113864996,2.645971741,0.010023978,1
V 253 ,fine,-0.259345907,0.119626328,-2.167966791,0.03351477,1
V 253 ,success,-0.331225312,0.100482401,-3.296351473,0.001531345,1
V 253 ,oil,0.146496231,0.053182898,2.754574037,0.007459584,1
V 253 ,default,-0.206291651,0.0887721,-2.323834285,0.023001492,1
V 253 ,lifestyle,0.112251501,0.046747807,2.401214238,0.018962028,1
V 253 ,fond,-0.176369499,0.083229324,-2.119078823,0.037582678,1
V 253 ,consume,0.249984059,0.086857868,2.878081919,0.005282018,1
