VY 44 ,Estimate,Std..Error,t.value,Pr...t..,
VY 44 ,(Intercept),24.22826508,31.74287213,0.763266316,0.447833354,1
VY 44 ,housing,-0.444936358,0.169813933,-2.620140467,0.010741694,1
VY 44 ,office,0.659974002,0.189819643,3.476847768,0.000869938,1
VY 44 ,invest,0.489842411,0.161072686,3.041126487,0.003300558,1
VY 44 ,loss,-0.305521543,0.147961695,-2.06486918,0.042588675,1
VY 44 ,banking,0.204485257,0.10169232,2.010823009,0.048142642,1
VY 44 ,success,-0.468208368,0.142141755,-3.293953768,0.001542703,1
VY 44 ,default,-0.25321217,0.125576439,-2.016398723,0.047542265,1
VY 44 ,lifestyle,-0.2209452,0.066129146,-3.341116808,0.001333206,1
VY 44 ,consumption,0.250560608,0.099639084,2.514681961,0.014180834,1
