C 414 ,Estimate,Std..Error,t.value,Pr...t..,
C 414 ,(Intercept),124.4657265,44.94515613,2.7692801,0.007162826,1
C 414 ,restaurant,-0.67730514,0.303763918,-2.229708991,0.028930701,1
C 414 ,dowjones,-0.56310112,0.230194378,-2.446198405,0.016916536,1
C 414 ,money,0.566961585,0.283160934,2.002259199,0.049077433,1
C 414 ,religion,-0.568044173,0.227013918,-2.502243813,0.014645947,1
C 414 ,society,-0.868181166,0.325247606,-2.669293021,0.00941376,1
C 414 ,chance,0.294421608,0.093216399,3.158474367,0.002329682,1
C 414 ,default,-0.361508251,0.177805355,-2.033168528,0.045775134,1
C 414 ,culture,1.054368866,0.310245484,3.398498678,0.001114424,1
C 414 ,energy,0.679642451,0.248294887,2.73723901,0.007823829,1
C 414 ,lifestyle,0.303549641,0.09363314,3.24190391,0.001809673,1
C 414 ,consumption,0.495974151,0.141080309,3.515544836,0.00076883,1
C 414 ,labor,0.25902259,0.094232362,2.748764697,0.007579883,1
