X 250 ,Estimate,Std..Error,t.value,Pr...t..,
X 250 ,(Intercept),31.47621691,65.48357832,0.480673441,0.63222647,1
X 250 ,stocks,0.599883507,0.180866118,3.316726839,0.001437951,1
X 250 ,housing,-1.099283973,0.350315622,-3.13798159,0.002477262,1
X 250 ,credit,1.199259224,0.46350158,2.58738972,0.011718631,1
X 250 ,cancer,-1.024868401,0.251616053,-4.073143941,0.000119112,1
X 250 ,bonds,0.566672649,0.176059881,3.218635871,0.001942539,1
X 250 ,invest,1.293635955,0.33228297,3.893175613,0.000221077,1
X 250 ,happy,0.618492034,0.25494713,2.42596194,0.017810913,1
X 250 ,banking,0.542942101,0.209784955,2.588088834,0.011696963,1
X 250 ,finance,-1.135402643,0.421418735,-2.694238647,0.008798656,1
X 250 ,risk,0.771602411,0.351514866,2.195077608,0.031429033,1
X 250 ,water,-1.007891514,0.474429595,-2.124427996,0.037117596,1
X 250 ,success,-1.202800257,0.293229632,-4.101905556,0.000107754,1
X 250 ,oil,0.359165244,0.155199333,2.314218988,0.023553374,1
X 250 ,default,-0.53547676,0.259056412,-2.067027625,0.042378853,1
X 250 ,movie,-0.841090875,0.30158395,-2.788911269,0.006783542,1
X 250 ,food,1.429313311,0.306492242,4.663456737,1.42E-05,1
