L 427 ,Estimate,Std..Error,t.value,Pr...t..,
L 427 ,(Intercept),19.86425202,10.07291778,1.972045484,0.052500681,1
L 427 ,credit,0.230800909,0.071297468,3.237154366,0.001836081,1
L 427 ,dowjones,0.155641949,0.051590188,3.016890525,0.003543141,1
L 427 ,hedge,0.068400063,0.031230866,2.190143003,0.031799985,1
L 427 ,cancer,-0.079770954,0.038704479,-2.061026392,0.042964451,1
L 427 ,investment,0.262243699,0.109844386,2.387411032,0.019632533,1
L 427 ,stockmarket,-0.177164396,0.062877014,-2.817633755,0.00626174,1
L 427 ,happy,0.100877123,0.039216878,2.572288496,0.012195644,1
L 427 ,chance,-0.049553465,0.020891264,-2.371970623,0.020407555,1
L 427 ,gain,0.078592008,0.038938498,2.018362581,0.047332339,1
L 427 ,food,0.229938645,0.047145731,4.877189125,6.37E-06,1
L 427 ,greed,-0.066387067,0.024340872,-2.72739069,0.00803794,1
L 427 ,labor,-0.054129656,0.021118957,-2.563083736,0.012494952,1
