Y 376 ,Estimate,Std..Error,t.value,Pr...t..,
Y 376 ,(Intercept),17.83437436,15.90882276,1.121036712,0.266049662,1
Y 376 ,economics,-0.24670856,0.102623282,-2.404021344,0.018828198,1
Y 376 ,office,0.26852302,0.095133391,2.822594864,0.006175439,1
Y 376 ,invest,0.193654982,0.080726054,2.398915495,0.019072253,1
Y 376 ,happy,0.139297766,0.061937799,2.248994458,0.027616523,1
Y 376 ,banking,0.102946312,0.050965933,2.019904385,0.047168086,1
Y 376 ,success,-0.160051644,0.071238292,-2.246708064,0.027769529,1
Y 376 ,food,0.15546362,0.074460359,2.087870941,0.04039822,1
Y 376 ,health,-0.157829309,0.075797401,-2.08225227,0.040924082,1
Y 376 ,financialmarkets,0.104869439,0.046388753,2.260665181,0.026847029,1
